index_col	content	data	like	place	tags	comment
10	"모두가 잠든 시간, 칠갑산을 덮고 있는 까만 밤하늘. 그 위에 한땀 한땀 수 놓인 반짝이는 별들✨📷 @elly.s_photo#청양여행 #청양일기 #은하수 #밤하늘 #야경"	2020-12-09	8		"['#청양여행', '#청양일기', '#은하수', '#밤하늘', '#야경']"	 
11	".➡️ 가격문의 카톡 ID : hys5940.➡️블로그 친추 링크 : Blog.naver.com/kgd2610.➡️ 밴드/카카오스토리 ID : 59405940.➡️ 밴드, 카카오스토리 소식받기, 친구신청하시면 더 많은 제품과 상세사진을 보실수있습니다^^신상업뎃 , 이벤트소식을 더 빠르게 받아보실수있어요!"	2020-12-09	1		[]	 
12	201209 #수락산 #수락산주봉[⛰블랙야크100대명산 7/100]with @youngda3320.다영쌤이랑 도봉산에 이어 수락산⛰기차바위 가려다가 길 잘 못 찾아서 스킵하고 바로 주봉에 도착해 버렸다ㅡ 다행이다😆.연속 산행에 도가니 나갈까봐 양쪽 무릎에@zamst_korea 보호대 착용했당왼쪽꺼는 쓰던거 오른쪽꺼는 새 것..새거랑 비교하니 왼쪽 수명 다한 듯 😂...@magforcekorea@blackyak.official@xexymix@repximum@zamst_korea.#등산 #등산스타그램 #등산하는여자 #등린이 #블랙야크100대명산 #블랙야크 #BAC #등산복패션 #등산화	2020-12-09	54	수락산 주봉정상	"['#수락산', '#수락산주봉[⛰블랙야크100대명산', '#등산', '#등산스타그램', '#등산하는여자', '#등린이', '#블랙야크100대명산', '#블랙야크', '#BAC', '#등산복패션', '#등산화']"	 
13	⠀#영덕#시포트리조트⠀패밀리B 부티크룸 컨디션:)⠀이게 뭐에요오?객실보다 이 곳이 풀빌라 블루였던가다시 한번 보게 된 사진😍😍⠀부티크룸인 만큼힘을 듬뿍듬뿍 실었답니다🤭⠀바다가 한눈에보이는 이 곳에서 편히 쉬어가세용🧡🧡⠀저희 카페 오픈한거 아시죠 여러분?!^^숙박하시는 고객님들은리조트카페 10%할인되시니 참고해주세용🧡🧡⠀⠀⠀#크리스마스파티 #크리스마스홈파티 #영덕 #영덕펜션 #리조트추천 #리조트예약 #국내여행지 #리조트 #골프장 #골프장추천 #골프리조트 #영덕여행 #영덕풀빌라 #드라이브코스	2020-12-09	201	시포트리조트	"['#영덕', '#시포트리조트⠀패밀리B', '#크리스마스파티', '#크리스마스홈파티', '#영덕', '#영덕펜션', '#리조트추천', '#리조트예약', '#국내여행지', '#리조트', '#골프장', '#골프장추천', '#골프리조트', '#영덕여행', '#영덕풀빌라', '#드라이브코스']"	 
14	올해 한 번 더 가려고 날짜까지 잡았는데코로나 때문에 못 간 옥천내년에 꼭 가야지 두번가야지..ㅠ그리고 그땐 배경에 사람이 다 들어갈거에요😁..사진은 순서대로땅-하늘 반복입니다😌	2020-12-09	"1,222"	충북 옥천	[]	 
15	"🌴🌵🌲""소소한 일상"" 창문너머 설핏 옅은 실루엣처럼 내맘속에 스며든 너의 은은한 향기가ᆢ실낱같은 그리움의 줄기를 남기며ᆢ햇살 빈틈 비집고 사알짝바람에 실려 살며시 비껴갑니다ᆞ입안가득 가을햇살 머금고 ᆢ마알간 미소지을때ᆢ소소한 일상처럼~~그렇게 하루가 갑니다.함덕본초불닭발/제주매운맛집/함덕맛집/함덕해수욕장맛집⛱함덕해수욕장🐓함덕매운맛집🐔open 오후4시 ~마지막주문10시40분까지🏝함덕해수욕장까지 도보로5분🏡제주 제주시 조천읍 신북로564🏜요리하는 시인,민턴매니아,바리스타🏝대표메뉴:무뼈닭발,국물닭발,소금구이날개봉,오뎅탕🌱함덕해수욕장근처맛집,함덕서우봉🤳010-5303-7384👉배달의민족👈☘주문가능🌱포장가능(천원할인)https://url.kr/98k3nc#맛제주 #함덕해변 #함덕해변맛집#제주도동쪽맛집#함덕닭발매운맛집 #함덕서우봉#제주도맛집 #함덕본초불닭#조천맛집 #함덕맛집 #국내여행추천 #가을제주여행#맛있는제주 #국내여행지 #함덕매운닭발맛집 #도민맛집 #함덕맛집 #함덕해수욕장 #함덕서우봉해변 #함덕매운맛집추천#제주시맛집 #함덕해수욕장맛집 #함덕해수욕장근처맛집  #함덕추천 #현지인맛집 #본초불닭발함덕점  #본초불닭함덕"	2020-12-09	0		"['#맛제주', '#함덕해변', '#함덕해변맛집', '#제주도동쪽맛집', '#함덕닭발매운맛집', '#함덕서우봉', '#제주도맛집', '#함덕본초불닭', '#조천맛집', '#함덕맛집', '#국내여행추천', '#가을제주여행', '#맛있는제주', '#국내여행지', '#함덕매운닭발맛집', '#도민맛집', '#함덕맛집', '#함덕해수욕장', '#함덕서우봉해변', '#함덕매운맛집추천', '#제주시맛집', '#함덕해수욕장맛집', '#함덕해수욕장근처맛집', '#함덕추천', '#현지인맛집', '#본초불닭발함덕점', '#본초불닭함덕']"	 
16	"#밤준스냅 생각나는 사람🙋‍♂️🙋‍♀️어떤 여행을 통해서 이런 순간, 물건, 장소 등을 보면 생각나는 사람이 생겼어요.물론 그 전에도 있기야 있었습니다. 근데 이렇게 짙게 생각나는 사람은 없었거든요.항상 참 많은 것을 남기는 제주도에요.😊----------------------------------📷 Canon Eos R + Canon RF 35mm 1.8 stm----------------------------------#여행스냅 #개인스냅 #스냅사진 #스냅촬영 #여행사진 #사진여행 #개인모델 #인물사진 #일상스냅 #개인촬영 #캐논 #canon #canonkoera #photo #캐논코리아 #캐논이미지스토밍 #제주 #제주여행 #제주사진 #제주스냅#국내여행지 #여행다녀왔습니다 #사진스타그램 #제주도 #노을 #일몰 #일몰사진 #감성사진 #프로필사진"	2020-12-09	53		"['#밤준스냅', '#여행스냅', '#개인스냅', '#스냅사진', '#스냅촬영', '#여행사진', '#사진여행', '#개인모델', '#인물사진', '#일상스냅', '#개인촬영', '#캐논', '#canon', '#canonkoera', '#photo', '#캐논코리아', '#캐논이미지스토밍', '#제주', '#제주여행', '#제주사진', '#제주스냅', '#국내여행지', '#여행다녀왔습니다', '#사진스타그램', '#제주도', '#노을', '#일몰', '#일몰사진', '#감성사진', '#프로필사진']"	 
17	다 그닥	2020-12-09	22	성이시돌목장	[]	 
18	한 장 더🙏🏻.둘 다 사진을 잘 안 찍고둘이 같이 찍은 적은 더더욱 없어서뭔가 어색하기 그지없었던 우리🙄앞으로 많이 찍읍시다요👋🏻.#알음_캠핑 #완주여행 #대둔산부엉바위오토캠핑장	2020-12-09	53	Wanju	"['#알음_캠핑', '#완주여행', '#대둔산부엉바위오토캠핑장']"	 
19	자고로 평냉의 계절.선주후면의 시국.	2020-12-09	23		[]	 
20	"[❄겨울 아니면 못보는 국내 눈꽃 여행지 모음.zip❄]사방이 온통 눈으로 둘러쌓여서 황홀 그자체...+0+새하얀 눈과 함께 사진 찍으면 무조건 인생샷이얏!👌#겨울여행 준비하고 있다면 공유💙@같이_또똣하게_입고_눈보러_가자!!!📍인제 #자작나무숲눈 하면 강원도 아니겠어?눈꽃이 핀 자작나무숲은 겨울왕국 그자체💙🤍📍제주 #1100고지사계절 안예쁜 날이 없는 제주겨울여행 핫스팟!새하얀 눈과 함께 인생샷 건지기~☃⠀📍청송 #얼음골이미 눈꽃여행지로 유명한 여기!1월쯔음 가면 가장 예쁘대! 참고해😘⠀📍대관령 #삼양목장소복히 쌓인 눈을 뽀득뽀득 밝으면 내 기분 마치 엘사~🧚‍♀️엄청 춥다고 하니 따듯하게 입고가야행!!⠀⠀📍청양 #알프스마을알프스 산맥이 청양에 있다궁?눈뿐만 아니라 볼거리가 다양해서 가족여행지로도 딱👍⠀-⠀⚠알려드립니다!현재 원대리 자작나무숲은 코로나이슈로 인해, 입산 통제가 되어 출입을 하지 못한다고 합니다. 소중한 걸음이 헛되지 않도록 방문 전 확인 부탁드립니다🙏⠀-⠀⠀📢 지금은 사회적 거리두기 기간!여행시 방역수칙을 준수하고, 야외 활동시 마스크 착용은 필수!⠀⠀#여행다녀왔습니다 로 남기는 우리들의 여행일기장⠀#여행다녀왔습니다 #여행다녀왔습니다_국내 #국내여행지 #겨울여행지 #국내여행 #국내여행추천 #청송 #인제 #제주 #대관령 #겨울왕국 #청송여행 #인제여행 #제주여행 #강원도여행"	2020-12-09	688		"['#겨울여행', '#자작나무숲눈', '#1100고지사계절', '#얼음골이미', '#삼양목장소복히', '#알프스마을알프스', '#여행다녀왔습니다', '#여행다녀왔습니다', '#여행다녀왔습니다_국내', '#국내여행지', '#겨울여행지', '#국내여행', '#국내여행추천', '#청송', '#인제', '#제주', '#대관령', '#겨울왕국', '#청송여행', '#인제여행', '#제주여행', '#강원도여행']"	 
21	"기차에 탑승 후 스치듯 들린'동심으로 돌아간 것 같다' 에는 두근거림이 있었다..여러분은 기차에 무엇이 떠오르시나요?토마스기차 말하면 아재래요..😭..📍 : #섬진강기차마을📍 : 전남 곡성군 오곡면 기차마을로 232📍 : 꼬마기차, 약 15분 소요"	2020-12-09	58	곡성 섬진강기차마을	['#섬진강기차마을📍']	 
22	섹시 자극적인 유머는 @holzzak ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ㅡㅡㅡ. . #국내여행지 임에도 불구하고 너무 #이국적이여서 #소문이난#여행지	2020-12-09	27		"['#국내여행지', '#이국적이여서', '#소문이난', '#여행지']"	 
23	섹시 자극적인 유머는 @holzzak ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ㅡㅡㅡㅡ. . #이국적 으로 #소문난 #국내여행지	2020-12-09	113		"['#이국적', '#소문난', '#국내여행지']"	 
24	"⠀⠀서울에 사시는 20대 황예지님❤️⠀⠀다이어트를 위해 복싱, PT 등 운동을 해오셨는데스트레스 때문인지 잦은 위경련과 불면증,탈모까지 생기고 살이 눈에 띄게 쪄서건강하게 다이어트를 할 수 있는 걸 찾다가저의 피드를 보시고 문의를 주셨지요❤️⠀상담 후에 개인맞춤으로프리미엄 전신디톡스 6주를 진행했어요🙂⠀⠀그때 당시 예지님의 상태는👉🏻⠀- 생리불순- 냉증- 저림- 붓기- 변비- 위경련- 탈모- 비염- 불면증⠀⠀디톡스 후의 변화는?👉🏻⠀- 규칙적인 생리- 몸이 엄청 따뜻해짐- 변비 없어짐- 탈모개선- 숙면을 취함- 체중 69kg->57kg 감량(-12kg)⠀⠀변화가 너무 놀라워요💓6주 진행하시는 동안 긍정적으로잘 따라와주신 예지님😉넘넘 수고 하셨어요❤️⠀⠀이제는 신체나이 유지, 건강유지, 몸매 유지하며달라진 삶의 질을 맘껏 누리시고 계신다는넘 귀여우신 예지님💓⠀⠀__________________________________________⠀D톡스상담은 카카오톡 주세용 '◡'⠀🔎ID🔜wsm000⠀🌹소미코치팀과 함께해요ෆ⃛⠀🌹디톡스 전문가로서 진정성있게 관리해드릴께용❤⠀"	2020-12-09	105	올림픽공원 산책로	[]	 
25	언니믿지동굴사진의 성지인 채석강!🤭백악기 시대에 생겼던 신기한 지층도 볼 수 있고백사장과 해수욕장이랑도 짱 잘어울려!자연이 만들어낸 인생샷 성지인 동굴샷도 찰칵~!.주소 : 전북 부안군 변산면 격포리..#국내여행 #국내여행지 #부안여행 #부안여행지 #부안핫플 #부안가볼만한곳 #전라도여행 #전라도여행지 #채석강 #언니믿지	2020-12-09	132		"['#국내여행', '#국내여행지', '#부안여행', '#부안여행지', '#부안핫플', '#부안가볼만한곳', '#전라도여행', '#전라도여행지', '#채석강', '#언니믿지']"	 
26	아직도 안 가본 사람 없게 해주세요오~서산 #운산 여행의 필수코스! ( •̀ᴗ•́ )و ̑̑#보원사지 와 #유기방가옥@코로나 끝나면 제일 먼저 가서 커플사진 냄길꼬야 ㅠㅠ	2020-12-09	96		"['#운산', '#보원사지', '#유기방가옥@코로나']"	 
27	도깨비깨비 촬영지강릉 영진해변 노을 참 이쁘다~	2020-12-09	36		[]	 
28	동도로동동 오동도 바람골🌬	2020-12-09	62	여수 오동도 바람골	[]	 
29	또 가구싶다 🤍	2020-12-09	13		[]	 
30	➡️📷.많이 힘들고 지쳐가는 시국이지만이럴때일수록 웃어 보아요.모두 다 함께 김~치~~~~😁📸.#스마일 #웃으면복이와요 #찰칵	2020-12-09	114		"['#스마일', '#웃으면복이와요', '#찰칵']"	 
31	🍑🍔🍕🍣오늘 점심 뭐먹징	2020-12-09	30		[]	 
32	#밀양 #위양지	2020-12-09	78	위양지	"['#밀양', '#위양지']"	 
33	⠀추운 날씨에 아이들과 가기 좋은#울산대공원생태여행관 입니다!🌵⠀다양한 #파충류 와 #나비 등이 있어서호기심 왕성한 아이들에게즐거운 #추억 을 선물해 줍니다.🦋⠀#울산대공원 #생태여행관 에서따뜻한 #겨울나들이 를 즐겨보세요!⛄️⠀⠀	2020-12-09	35		"['#울산대공원생태여행관', '#파충류', '#나비', '#추억', '#울산대공원', '#생태여행관', '#겨울나들이']"	 
34	제주 카멜리아힐에서🌳날씨 좋은 날은 어딜 가도 기분이 좋져?워니 파이팅 있게 하루 시작했어욥!!맑은 하늘 사진 보시고 울님들도 파이팅이에요🙌🏻맛점하세요💛#오늘아님주의#날씨가비슷하네요	2020-12-09	33	카멜리아 힐	"['#오늘아님주의', '#날씨가비슷하네요']"	 
35	꿈같았던 남해에서의 3박4일🤍인생에서 이렇게 아무 일 아무 걱정 없이푹 쉴 수 있는 날이 얼마나 될까 하고아주 만끽 중이에요🌴😎이제 제주도로 슝🕊	2020-12-09	101		[]	 
36	[베어베어home wear] *주문폭주*여러분 이거 무슨 일이죠😳🥲 오픈 20분도 채안되서 100장 돌파했어요! 지금 급하게 거래처사장님께 추가 원단 홀딩 후 여유수량 오더 넣었구요지금 주문하셔야 연말 전에 받아보실 수 있어요!12/ 21(월) 순차 배송인데도 불구하고 확실히 이번연말은 모임도 어렵고 다 조심스러워 집에 있는시간이 많아 모두 기다려주시는거 같아요😍✨사실 저 혼자 입으려고 슬쩍 바잉한건데 이렇게같이 좋아해 주셔서 너무 기쁩니다용 #1만원대착한 금액에 할인 혜택 챙기셔서 구매하세용🐻	2020-12-09	314		['#1만원대착한']	 
37	"🌼""희망풍차나눔명패달기""세상엔 고마운 이들이 참 많죠.대한적십자사 희망나눔사업장이있어 명패 달러 다녀왔어요.중국분이신데도 좋은 일에 동참해주셨답니다.나눔을 손수 실천해주시는 고마운대표님께 감사의 마음을 전해드립니다.여러분의 자그마한 정성이 힘들고어려운 이웃들에게 따뜻한 겨울을나눠드릴 수 있답니다.함덕본초불닭발/제주매운맛집/함덕맛집/함덕해수욕장맛집⛱함덕해수욕장🐓함덕매운맛집🐔open 오후4시 ~마지막주문10시40분까지🏝함덕해수욕장까지 도보로5분🏡제주 제주시 조천읍 신북로564🏜요리하는 시인,민턴매니아,바리스타🏝대표메뉴:무뼈닭발,국물닭발,소금구이날개봉,오뎅탕🌱함덕해수욕장근처맛집,함덕서우봉🤳010-5303-7384👉배달의민족👈☘주문가능🌱포장가능(천원할인)https://url.kr/98k3nc#맛제주 #함덕해변 #함덕해변맛집#제주도동쪽맛집#함덕닭발매운맛집 #함덕서우봉#제주도맛집 #함덕본초불닭#대한적십자사제주지사 #함덕맛집 #국내여행추천 #가을제주여행#맛있는제주 #국내여행지 #함덕매운닭발맛집 #도민맛집 #함덕맛집 #함덕해수욕장 #함덕서우봉해변 #함덕매운맛집추천#제주시맛집 #함덕해수욕장맛집 #함덕해수욕장근처맛집  #함덕추천 #현지인맛집 #본초불닭발함덕점  #본초불닭함덕"	2020-12-09	93		"['#맛제주', '#함덕해변', '#함덕해변맛집', '#제주도동쪽맛집', '#함덕닭발매운맛집', '#함덕서우봉', '#제주도맛집', '#함덕본초불닭', '#대한적십자사제주지사', '#함덕맛집', '#국내여행추천', '#가을제주여행', '#맛있는제주', '#국내여행지', '#함덕매운닭발맛집', '#도민맛집', '#함덕맛집', '#함덕해수욕장', '#함덕서우봉해변', '#함덕매운맛집추천', '#제주시맛집', '#함덕해수욕장맛집', '#함덕해수욕장근처맛집', '#함덕추천', '#현지인맛집', '#본초불닭발함덕점', '#본초불닭함덕']"	 
38	남자친구랑 알콩달콩 강릉 여행💙...#강릉#강릉여행#연애#럽스타그램#커플스타그램#여행스타그램✈️#커플#커플여행#강릉여행지#강릉여행지추천#향호해변#2박3일여행#국내여행#국내여행지#여자친구#남자친구#커플스냅사진#커플스냅샷#가을여행#가을여행지추천#bts버스정류장#강릉바다	2020-12-09	52	향호해변	"['#강릉', '#강릉여행', '#연애', '#럽스타그램', '#커플스타그램', '#여행스타그램✈️', '#커플', '#커플여행', '#강릉여행지', '#강릉여행지추천', '#향호해변', '#2박3일여행', '#국내여행', '#국내여행지', '#여자친구', '#남자친구', '#커플스냅사진', '#커플스냅샷', '#가을여행', '#가을여행지추천', '#bts버스정류장', '#강릉바다']"	 
